order_number	order_date	sales_associate	customer	products/quantities	total_sale
CHA-CHING-0000316	2010-01-05	Hayley W. Harrell	Tatum T. Lambert	GRMZM0000040:91,GRMZM0000068:46	110.5
CHA-CHING-0000317	2010-01-07	Macaulay U. Shaw	Carolyn A. Burt	GRMZM0000046:27,GRMZM0000042:63,GRMZM0000081:48,GRMZM0000001:42,GRMZM0000005:49,GRMZM0000058:15	191.78
CHA-CHING-0000318	2010-01-11	Eliana V. Ashley	Janna K. Mejia	GRMZM0000049:36,GRMZM0000058:18,GRMZM0000075:36	57.42
CHA-CHING-0000319	2010-01-18	Haviva N. Glenn	Dai J. Fields	GRMZM0000074:87,GRMZM0000002:7,GRMZM0000052:11,GRMZM0000071:84	76.01
CHA-CHING-0000320	2010-02-04	Ingrid A. Reynolds	Kadeem D. Herrera	GRMZM0000030:24,GRMZM0000033:17,GRMZM0000005:3	45.37
CHA-CHING-0000321	2010-03-15	Sandra E. Ramsey	Ava Y. Morrow	GRMZM0000090:8,GRMZM0000098:13,GRMZM0000091:27	36.25
CHA-CHING-0000322	2010-03-20	Ingrid A. Reynolds	Lysandra I. Gardner	GRMZM0000094:14,GRMZM0000065:38,GRMZM0000058:89,GRMZM0000025:92,GRMZM0000048:42	178.33
CHA-CHING-0000323	2010-03-29	Ingrid A. Reynolds	Sharon U. Peck	GRMZM0000098:97,GRMZM0000073:6,GRMZM0000036:21,GRMZM0000082:19,GRMZM0000055:11,GRMZM0000056:77	116.57
CHA-CHING-0000324	2010-03-30	Sandra E. Ramsey	Luke J. Mitchell	GRMZM0000047:49,GRMZM0000038:42,GRMZM0000029:50,GRMZM0000035:52	125.3
CHA-CHING-0000325	2010-04-18	Eliana V. Ashley	Sharon U. Peck	GRMZM0000068:100,GRMZM0000092:100,GRMZM0000059:64	168
CHA-CHING-0000326	2010-04-22	Haviva N. Glenn	Diana Y. Freeman	GRMZM0000011:53,GRMZM0000028:96,GRMZM0000100:21	152.24
CHA-CHING-0000327	2010-04-29	Brennan J. Morris	Diana Y. Freeman	GRMZM0000005:87,GRMZM0000049:36,GRMZM0000071:94	124.52
CHA-CHING-0000328	2010-05-03	Ingrid A. Reynolds	Nathan L. Avila	GRMZM0000006:39,GRMZM0000070:56	66.73
CHA-CHING-0000329	2010-06-05	Brennan J. Morris	Scarlett Z. Marks	GRMZM0000027:38,GRMZM0000011:97,GRMZM0000009:69,GRMZM0000056:16,GRMZM0000002:45,GRMZM0000055:60	224.61
CHA-CHING-0000330	2010-06-16	Eliana V. Ashley	Cameron S. Kaufman	GRMZM0000056:97,GRMZM0000037:32	93.76
CHA-CHING-0000331	2010-06-16	Brennan J. Morris	Fulton A. Arnold	GRMZM0000060:29,GRMZM0000025:96,GRMZM0000034:7,GRMZM0000040:97	148.87
CHA-CHING-0000332	2010-06-30	Eliana V. Ashley	James Y. Mullen	GRMZM0000034:27,GRMZM0000094:27,GRMZM0000036:66,GRMZM0000015:56,GRMZM0000015:89	268.67
CHA-CHING-0000333	2010-07-18	Nolan E. Ward	Kennedy I. Hatfield	GRMZM0000024:53,GRMZM0000069:66,GRMZM0000019:33	135.72
CHA-CHING-0000334	2010-08-10	Haviva N. Glenn	Scarlett Z. Marks	GRMZM0000046:30,GRMZM0000012:91,GRMZM0000032:44,GRMZM0000059:30	109.12
CHA-CHING-0000335	2010-10-01	Sandra E. Ramsey	Aristotle G. Acosta	GRMZM0000019:23,GRMZM0000085:27,GRMZM0000012:96,GRMZM0000007:92,GRMZM0000039:10,GRMZM0000058:27	204.43
CHA-CHING-0000336	2010-10-08	Sandra E. Ramsey	Kay P. Ashley	GRMZM0000036:9,GRMZM0000045:69	74.97
CHA-CHING-0000337	2010-10-18	Nolan E. Ward	Noelani L. Grimes	GRMZM0000057:61,GRMZM0000080:40,GRMZM0000059:81,GRMZM0000045:76,GRMZM0000069:72,GRMZM0000025:23	318.54
CHA-CHING-0000338	2010-10-27	Eliana V. Ashley	Francis K. Pollard	GRMZM0000046:80,GRMZM0000017:88,GRMZM0000094:57,GRMZM0000050:54	130.6
CHA-CHING-0000339	2010-10-30	Haviva N. Glenn	Uta A. Bray	GRMZM0000012:47,GRMZM0000042:86,GRMZM0000062:6	99.52
CHA-CHING-0000340	2010-11-16	Hayley W. Harrell	Noelani L. Grimes	GRMZM0000038:27,GRMZM0000075:28,GRMZM0000026:70,GRMZM0000099:4,GRMZM0000055:77	132.57
CHA-CHING-0000341	2010-11-20	Hayley W. Harrell	Fulton A. Arnold	GRMZM0000044:22,GRMZM0000092:11	16.94
CHA-CHING-0000342	2010-12-07	Hedley G. Trujillo	Dai J. Fields	GRMZM0000088:95,GRMZM0000064:23,GRMZM0000095:67,GRMZM0000039:50,GRMZM0000012:36,GRMZM0000068:34	216.59
CHA-CHING-0000343	2010-12-09	Haviva N. Glenn	Cameron J. Shaffer	GRMZM0000076:34,GRMZM0000004:96,GRMZM0000004:30,GRMZM0000006:89	111.85
CHA-CHING-0000344	2010-12-27	Nolan E. Ward	Sharon U. Peck	GRMZM0000017:9,GRMZM0000019:18,GRMZM0000039:3,GRMZM0000017:47,GRMZM0000011:39	55.54
CHA-CHING-0000345	2010-12-29	Ingrid A. Reynolds	Davis C. Mathis	GRMZM0000051:3,GRMZM0000077:60,GRMZM0000023:83	115.9
CHA-CHING-0000346	2010-12-29	Brennan J. Morris	Noelani L. Grimes	GRMZM0000071:22,GRMZM0000004:47,GRMZM0000019:54	33.38
CHA-CHING-0000347	2010-12-31	Nolan E. Ward	Liberty C. Mclaughlin	GRMZM0000066:33,GRMZM0000040:5,GRMZM0000025:83	45.23
CHA-CHING-0000348	2011-01-07	Nolan E. Ward	Cameron J. Shaffer	GRMZM0000075:93,GRMZM0000008:55,GRMZM0000020:40,GRMZM0000088:70	138.48
CHA-CHING-0000349	2011-01-14	Macaulay U. Shaw	Kirsten B. Camacho	GRMZM0000044:92,GRMZM0000088:48	84.48
CHA-CHING-0000350	2011-01-29	Haviva N. Glenn	Alika L. Alexander	GRMZM0000020:44,GRMZM0000086:39,GRMZM0000013:67,GRMZM0000028:23,GRMZM0000097:13	118.97
CHA-CHING-0000351	2011-02-01	Sandra E. Ramsey	Sharon U. Peck	GRMZM0000003:26,GRMZM0000058:9,GRMZM0000037:28,GRMZM0000004:73	76.05
CHA-CHING-0000352	2011-02-04	Nolan E. Ward	Leah T. Franks	GRMZM0000014:88,GRMZM0000092:23,GRMZM0000047:44	30.46
CHA-CHING-0000353	2011-02-12	Nolan E. Ward	Cameron J. Shaffer	GRMZM0000018:26,GRMZM0000006:17,GRMZM0000091:83,GRMZM0000036:35,GRMZM0000041:79	274.78
CHA-CHING-0000354	2011-02-12	Hedley G. Trujillo	Burton E. Campbell	GRMZM0000010:29,GRMZM0000030:91,GRMZM0000049:18,GRMZM0000059:23,GRMZM0000085:68	256.96
CHA-CHING-0000355	2011-02-20	Sandra E. Ramsey	Nathan L. Avila	GRMZM0000044:34,GRMZM0000072:52	46.32
CHA-CHING-0000356	2011-02-23	Nolan E. Ward	Kirsten B. Camacho	GRMZM0000091:45,GRMZM0000019:71	62.12
CHA-CHING-0000357	2011-02-25	Nolan E. Ward	Yvette R. Norton	GRMZM0000038:15,GRMZM0000018:80,GRMZM0000090:9,GRMZM0000010:7,GRMZM0000058:27,GRMZM0000064:17	146.19
CHA-CHING-0000358	2011-03-12	Macaulay U. Shaw	Yasir T. Fischer	GRMZM0000063:77,GRMZM0000050:57,GRMZM0000074:34	122.61
CHA-CHING-0000359	2011-03-16	Hedley G. Trujillo	Kennedy I. Hatfield	GRMZM0000075:14,GRMZM0000001:33,GRMZM0000012:46,GRMZM0000092:90,GRMZM0000009:95	139.63
CHA-CHING-0000360	2011-03-19	Jocelyn Z. Parsons	Kadeem D. Herrera	GRMZM0000086:55,GRMZM0000079:20,GRMZM0000065:39,GRMZM0000054:47	96.78
CHA-CHING-0000361	2011-03-22	Ingrid A. Reynolds	Yvette R. Norton	GRMZM0000054:9,GRMZM0000012:64	11.93
CHA-CHING-0000362	2011-04-18	Ingrid A. Reynolds	Alea U. Webb	GRMZM0000019:96,GRMZM0000032:55,GRMZM0000069:98,GRMZM0000026:45	230.96
CHA-CHING-0000363	2011-04-26	Brennan J. Morris	Fulton A. Arnold	GRMZM0000056:84,GRMZM0000005:15,GRMZM0000084:55,GRMZM0000012:51,GRMZM0000093:70,GRMZM0000081:30	200.03
CHA-CHING-0000364	2011-05-06	Nolan E. Ward	Janna K. Mejia	GRMZM0000094:55,GRMZM0000065:44,GRMZM0000010:18,GRMZM0000096:68,GRMZM0000036:99,GRMZM0000051:75	291.33
CHA-CHING-0000365	2011-05-13	Nolan E. Ward	Zenaida X. Avila	GRMZM0000016:62,GRMZM0000010:66,GRMZM0000085:59,GRMZM0000077:42	174.43
CHA-CHING-0000366	2011-06-04	Nolan E. Ward	Alea U. Webb	GRMZM0000016:17,GRMZM0000003:66,GRMZM0000025:62,GRMZM0000069:11,GRMZM0000045:2	137.97
CHA-CHING-0000367	2011-06-04	Brennan J. Morris	Tamekah X. Steele	GRMZM0000031:77,GRMZM0000098:82,GRMZM0000038:62,GRMZM0000042:39	141.49
CHA-CHING-0000368	2011-06-08	Ingrid A. Reynolds	Imelda G. Chambers	GRMZM0000085:8,GRMZM0000020:49,GRMZM0000095:52	91.2
CHA-CHING-0000369	2011-06-12	Brennan J. Morris	Carolyn A. Burt	GRMZM0000034:69,GRMZM0000037:74,GRMZM0000027:40,GRMZM0000013:8	40.97
CHA-CHING-0000370	2011-06-21	Haviva N. Glenn	Sharon U. Peck	GRMZM0000064:5,GRMZM0000006:14	9.91
CHA-CHING-0000371	2011-07-04	Hedley G. Trujillo	Kadeem D. Herrera	GRMZM0000094:17,GRMZM0000015:50,GRMZM0000025:54,GRMZM0000029:47,GRMZM0000062:42,GRMZM0000098:29	190.89
CHA-CHING-0000372	2011-07-29	Eliana V. Ashley	Liberty C. Mclaughlin	GRMZM0000046:7,GRMZM0000013:84	28.42
CHA-CHING-0000373	2011-08-01	Ingrid A. Reynolds	Eleanor A. Duncan	GRMZM0000090:43,GRMZM0000061:94,GRMZM0000065:84,GRMZM0000033:91	150.87
CHA-CHING-0000374	2011-08-03	Sandra E. Ramsey	Nathan L. Avila	GRMZM0000048:71,GRMZM0000031:38,GRMZM0000060:54,GRMZM0000012:3,GRMZM0000003:90,GRMZM0000002:52	280.94
CHA-CHING-0000375	2011-08-04	Sandra E. Ramsey	Carolyn A. Burt	GRMZM0000012:10,GRMZM0000002:90,GRMZM0000038:61,GRMZM0000061:84	242.04
CHA-CHING-0000376	2011-08-27	Nolan E. Ward	Nathan L. Avila	GRMZM0000099:78,GRMZM0000076:70,GRMZM0000028:59,GRMZM0000096:87	243.53
CHA-CHING-0000377	2011-08-28	Eliana V. Ashley	Yasir T. Fischer	GRMZM0000028:10,GRMZM0000076:85	51.45
CHA-CHING-0000378	2011-08-29	Hayley W. Harrell	Cameron J. Shaffer	GRMZM0000083:46,GRMZM0000043:48	91.88
CHA-CHING-0000379	2011-09-06	Ingrid A. Reynolds	Noelani L. Grimes	GRMZM0000092:88,GRMZM0000036:74,GRMZM0000039:60,GRMZM0000074:13	151.25
CHA-CHING-0000380	2011-09-22	Sandra E. Ramsey	Isadora B. Reese	GRMZM0000029:81,GRMZM0000064:15,GRMZM0000087:100,GRMZM0000008:30	136.06
CHA-CHING-0000381	2011-10-04	Jocelyn Z. Parsons	Tamekah X. Steele	GRMZM0000032:78,GRMZM0000003:70,GRMZM0000036:14,GRMZM0000045:53	247.29
CHA-CHING-0000382	2011-10-05	Brennan J. Morris	Leah T. Franks	GRMZM0000065:35,GRMZM0000038:75,GRMZM0000037:49	93.78
CHA-CHING-0000383	2011-10-18	Brennan J. Morris	Leah T. Franks	GRMZM0000083:33,GRMZM0000032:56,GRMZM0000002:20,GRMZM0000075:79,GRMZM0000004:94	243.15
CHA-CHING-0000384	2011-10-26	Ingrid A. Reynolds	Kadeem D. Herrera	GRMZM0000046:62,GRMZM0000073:22,GRMZM0000054:28	18.52
CHA-CHING-0000385	2011-11-09	Brennan J. Morris	Nathan L. Avila	GRMZM0000098:48,GRMZM0000004:42,GRMZM0000074:12,GRMZM0000059:15,GRMZM0000078:74,GRMZM0000055:48	139.53
CHA-CHING-0000386	2011-11-19	Hedley G. Trujillo	Scarlett Z. Marks	GRMZM0000003:99,GRMZM0000002:15,GRMZM0000007:51,GRMZM0000096:9,GRMZM0000070:5,GRMZM0000090:82	233.29
CHA-CHING-0000387	2011-11-19	Hedley G. Trujillo	Alika L. Alexander	GRMZM0000068:58,GRMZM0000035:56,GRMZM0000064:60,GRMZM0000008:33,GRMZM0000062:93	262.81
CHA-CHING-0000388	2011-11-21	Jocelyn Z. Parsons	Zenaida X. Avila	GRMZM0000048:52,GRMZM0000003:49,GRMZM0000070:72,GRMZM0000064:98	238.2
CHA-CHING-0000389	2011-12-02	Eliana V. Ashley	Imelda G. Chambers	GRMZM0000080:66,GRMZM0000020:64,GRMZM0000027:29,GRMZM0000059:46,GRMZM0000063:58	279.01
CHA-CHING-0000390	2011-12-03	Nolan E. Ward	Ava Y. Morrow	GRMZM0000047:97,GRMZM0000025:84,GRMZM0000042:70,GRMZM0000055:56,GRMZM0000012:14,GRMZM0000021:45	188.61
CHA-CHING-0000391	2011-12-04	Jocelyn Z. Parsons	Colorado P. Daniel	GRMZM0000031:32,GRMZM0000042:14,GRMZM0000067:73,GRMZM0000029:68,GRMZM0000048:25	133.98
CHA-CHING-0000392	2011-12-13	Sandra E. Ramsey	Scarlett Z. Marks	GRMZM0000073:31,GRMZM0000047:42,GRMZM0000053:5,GRMZM0000072:11,GRMZM0000046:54	32.91
CHA-CHING-0000393	2011-12-26	Ingrid A. Reynolds	Janna K. Mejia	GRMZM0000008:25,GRMZM0000021:46	42.25
CHA-CHING-0000394	2012-01-01	Brennan J. Morris	Cameron J. Shaffer	GRMZM0000062:1,GRMZM0000047:82,GRMZM0000079:39	83.24
CHA-CHING-0000395	2012-01-08	Sandra E. Ramsey	Dai J. Fields	GRMZM0000084:83,GRMZM0000040:42,GRMZM0000034:32	71.49
CHA-CHING-0000396	2012-01-18	Eliana V. Ashley	Yvette R. Norton	GRMZM0000099:21,GRMZM0000099:36	43.89
CHA-CHING-0000397	2012-01-21	Hayley W. Harrell	Sharon U. Peck	GRMZM0000052:32,GRMZM0000042:54,GRMZM0000084:46,GRMZM0000034:9	104.13
CHA-CHING-0000398	2012-01-30	Ingrid A. Reynolds	Scarlett Z. Marks	GRMZM0000069:50,GRMZM0000052:90,GRMZM0000016:75	222.4
CHA-CHING-0000399	2012-02-05	Ingrid A. Reynolds	Alika L. Alexander	GRMZM0000043:97,GRMZM0000036:28,GRMZM0000012:42,GRMZM0000096:62	152.81
CHA-CHING-0000400	2012-02-14	Eliana V. Ashley	Hall S. Guerra	GRMZM0000099:82,GRMZM0000073:7,GRMZM0000082:29,GRMZM0000022:61	115.57
CHA-CHING-0000401	2012-03-06	Brennan J. Morris	Yvette R. Norton	GRMZM0000034:59,GRMZM0000086:12,GRMZM0000010:88	45.75
CHA-CHING-0000402	2012-03-11	Jocelyn Z. Parsons	Eleanor A. Duncan	GRMZM0000020:99,GRMZM0000012:41,GRMZM0000026:21,GRMZM0000074:17,GRMZM0000055:37,GRMZM0000068:15	120.99
CHA-CHING-0000403	2012-03-14	Ingrid A. Reynolds	Leah T. Franks	GRMZM0000048:72,GRMZM0000020:43,GRMZM0000026:53,GRMZM0000089:38,GRMZM0000031:81	201.59
CHA-CHING-0000404	2012-03-20	Ingrid A. Reynolds	Lysandra I. Gardner	GRMZM0000022:47,GRMZM0000005:38,GRMZM0000050:81,GRMZM0000045:18	75.58
CHA-CHING-0000405	2012-03-24	Hedley G. Trujillo	Noelani L. Grimes	GRMZM0000046:80,GRMZM0000052:100,GRMZM0000012:53,GRMZM0000065:67,GRMZM0000063:15,GRMZM0000088:70	189.18
CHA-CHING-0000406	2012-03-30	Nolan E. Ward	Scarlett Z. Marks	GRMZM0000010:32,GRMZM0000089:93,GRMZM0000089:69,GRMZM0000025:58,GRMZM0000091:84	348.02
CHA-CHING-0000407	2012-04-01	Nolan E. Ward	Yasir T. Fischer	GRMZM0000055:2,GRMZM0000093:15,GRMZM0000076:48,GRMZM0000026:40,GRMZM0000018:68	148.47
CHA-CHING-0000408	2012-04-06	Hedley G. Trujillo	Isadora B. Reese	GRMZM0000050:31,GRMZM0000081:45,GRMZM0000091:4	35.32
CHA-CHING-0000409	2012-05-02	Eliana V. Ashley	Zenaida X. Avila	GRMZM0000092:18,GRMZM0000029:3,GRMZM0000091:94,GRMZM0000030:60	207.01
CHA-CHING-0000410	2012-05-10	Nolan E. Ward	Ava Y. Morrow	GRMZM0000070:98,GRMZM0000059:21,GRMZM0000061:8	121.77
CHA-CHING-0000411	2012-05-11	Haviva N. Glenn	Rahim N. Daugherty	GRMZM0000001:14,GRMZM0000004:98	59.64
CHA-CHING-0000412	2012-05-13	Nolan E. Ward	Zenaida X. Avila	GRMZM0000062:21,GRMZM0000097:84,GRMZM0000096:52	168.42
CHA-CHING-0000413	2012-05-16	Sandra E. Ramsey	Kennedy I. Hatfield	GRMZM0000061:73,GRMZM0000076:62,GRMZM0000041:2,GRMZM0000066:95	100.1
CHA-CHING-0000414	2012-05-21	Nolan E. Ward	Cameron S. Kaufman	GRMZM0000051:58,GRMZM0000016:32,GRMZM0000033:10,GRMZM0000048:95	122.92
CHA-CHING-0000415	2012-05-29	Sandra E. Ramsey	Lysandra I. Gardner	GRMZM0000047:67,GRMZM0000064:82,GRMZM0000062:8,GRMZM0000018:68,GRMZM0000051:89,GRMZM0000035:75	288.6
CHA-CHING-0000416	2012-06-01	Ingrid A. Reynolds	Lacy K. Pruitt	GRMZM0000068:43,GRMZM0000070:29,GRMZM0000045:16	76.06
CHA-CHING-0000417	2012-06-17	Sandra E. Ramsey	Carolyn A. Burt	GRMZM0000073:67,GRMZM0000034:48	21.38
CHA-CHING-0000418	2012-06-25	Brennan J. Morris	Alea U. Webb	GRMZM0000088:59,GRMZM0000002:77	124.83
CHA-CHING-0000419	2012-06-26	Nolan E. Ward	Nathan L. Avila	GRMZM0000084:7,GRMZM0000073:100,GRMZM0000021:5,GRMZM0000023:15,GRMZM0000030:22	66.15
CHA-CHING-0000420	2012-07-04	Ingrid A. Reynolds	Kennedy I. Hatfield	GRMZM0000021:29,GRMZM0000009:51,GRMZM0000027:22,GRMZM0000004:99,GRMZM0000065:78	155.08
CHA-CHING-0000421	2012-07-04	Sandra E. Ramsey	Yvette R. Norton	GRMZM0000030:2,GRMZM0000061:3,GRMZM0000095:52,GRMZM0000077:66	83.57
CHA-CHING-0000422	2012-07-11	Ingrid A. Reynolds	Alea U. Webb	GRMZM0000062:33,GRMZM0000075:15,GRMZM0000068:69,GRMZM0000022:95,GRMZM0000006:100,GRMZM0000018:13	191.63
CHA-CHING-0000423	2012-07-21	Nolan E. Ward	Uta A. Bray	GRMZM0000038:17,GRMZM0000094:100,GRMZM0000004:7	155.38
CHA-CHING-0000424	2012-07-22	Brennan J. Morris	Tatum T. Lambert	GRMZM0000037:71,GRMZM0000064:53,GRMZM0000084:6,GRMZM0000023:69,GRMZM0000012:35	125.28
CHA-CHING-0000425	2012-08-02	Sandra E. Ramsey	Fulton A. Arnold	GRMZM0000062:43,GRMZM0000006:36,GRMZM0000071:44	84.02
CHA-CHING-0000426	2012-08-08	Ingrid A. Reynolds	Aristotle G. Acosta	GRMZM0000048:49,GRMZM0000021:70,GRMZM0000019:47,GRMZM0000012:91,GRMZM0000049:74	121.65
CHA-CHING-0000427	2012-08-19	Eliana V. Ashley	Sharon U. Peck	GRMZM0000078:30,GRMZM0000067:3,GRMZM0000011:39,GRMZM0000078:74,GRMZM0000064:33,GRMZM0000015:46	233.12
CHA-CHING-0000428	2012-09-05	Sandra E. Ramsey	Yasir T. Fischer	GRMZM0000003:85,GRMZM0000051:10,GRMZM0000038:1,GRMZM0000050:10,GRMZM0000055:65,GRMZM0000047:73	152.81
CHA-CHING-0000429	2012-09-06	Sandra E. Ramsey	James Y. Mullen	GRMZM0000060:26,GRMZM0000094:82,GRMZM0000097:91,GRMZM0000050:7,GRMZM0000067:84,GRMZM0000084:98	323.46
CHA-CHING-0000430	2012-09-10	Macaulay U. Shaw	Kirsten B. Camacho	GRMZM0000060:63,GRMZM0000026:14,GRMZM0000064:13	84.37
CHA-CHING-0000431	2012-09-17	Nolan E. Ward	Kirsten B. Camacho	GRMZM0000047:32,GRMZM0000004:91,GRMZM0000076:71,GRMZM0000019:1,GRMZM0000063:35	139.64
CHA-CHING-0000432	2012-09-29	Nolan E. Ward	Liberty C. Mclaughlin	GRMZM0000079:89,GRMZM0000009:74,GRMZM0000073:57,GRMZM0000003:44,GRMZM0000097:99,GRMZM0000090:43	349.37
CHA-CHING-0000433	2012-10-05	Brennan J. Morris	Alea U. Webb	GRMZM0000039:75,GRMZM0000084:1,GRMZM0000009:44	143.76
CHA-CHING-0000434	2012-10-25	Ingrid A. Reynolds	Alea U. Webb	GRMZM0000081:55,GRMZM0000053:47	50
CHA-CHING-0000435	2012-10-25	Jocelyn Z. Parsons	Ima C. Mullins	GRMZM0000031:17,GRMZM0000027:99,GRMZM0000076:65,GRMZM0000009:39,GRMZM0000014:84,GRMZM0000014:57	139.47
CHA-CHING-0000436	2012-10-25	Hayley W. Harrell	Lacy K. Pruitt	GRMZM0000075:61,GRMZM0000048:33,GRMZM0000040:81,GRMZM0000058:86	208.99
CHA-CHING-0000437	2012-11-12	Nolan E. Ward	Imelda G. Chambers	GRMZM0000094:30,GRMZM0000025:64	67.08
CHA-CHING-0000438	2012-11-22	Nolan E. Ward	Yvette R. Norton	GRMZM0000073:73,GRMZM0000099:32,GRMZM0000018:78,GRMZM0000089:1	119.61
CHA-CHING-0000439	2012-12-11	Hedley G. Trujillo	Sydnee L. Hooper	GRMZM0000093:6,GRMZM0000040:84,GRMZM0000089:52,GRMZM0000092:8,GRMZM0000001:12	152.78
CHA-CHING-0000440	2013-01-05	Nolan E. Ward	Lacy K. Pruitt	GRMZM0000086:49,GRMZM0000061:23,GRMZM0000005:74,GRMZM0000020:30,GRMZM0000016:95,GRMZM0000045:43	279.41
CHA-CHING-0000441	2013-01-22	Macaulay U. Shaw	Fulton A. Arnold	GRMZM0000072:87,GRMZM0000024:53,GRMZM0000068:87	163.23
CHA-CHING-0000442	2013-01-27	Ingrid A. Reynolds	Aristotle G. Acosta	GRMZM0000016:24,GRMZM0000082:67,GRMZM0000039:66,GRMZM0000022:36,GRMZM0000011:84,GRMZM0000031:67	280.7
CHA-CHING-0000443	2013-01-28	Nolan E. Ward	Scarlett Z. Marks	GRMZM0000040:28,GRMZM0000035:20,GRMZM0000089:82,GRMZM0000055:51,GRMZM0000060:91,GRMZM0000012:43	240.77
CHA-CHING-0000444	2013-02-08	Nolan E. Ward	Zelda A. Ochoa	GRMZM0000021:56,GRMZM0000022:85,GRMZM0000079:100,GRMZM0000033:23	208.24
CHA-CHING-0000445	2013-02-15	Nolan E. Ward	Zelda A. Ochoa	GRMZM0000052:75,GRMZM0000005:15,GRMZM0000055:68,GRMZM0000013:99	133.78
CHA-CHING-0000446	2013-02-23	Jocelyn Z. Parsons	Ava Y. Morrow	GRMZM0000033:31,GRMZM0000081:52,GRMZM0000019:56,GRMZM0000053:47	68.52
CHA-CHING-0000447	2013-03-01	Brennan J. Morris	Cameron S. Kaufman	GRMZM0000026:48,GRMZM0000063:47,GRMZM0000073:13,GRMZM0000099:1,GRMZM0000046:80,GRMZM0000025:16	128.73
CHA-CHING-0000448	2013-03-04	Nolan E. Ward	Colorado P. Daniel	GRMZM0000006:39,GRMZM0000014:52,GRMZM0000018:21,GRMZM0000015:75	135.42
CHA-CHING-0000449	2013-03-07	Ingrid A. Reynolds	Eleanor A. Duncan	GRMZM0000003:19,GRMZM0000050:20	24.98
CHA-CHING-0000450	2013-03-11	Nolan E. Ward	Rahim N. Daugherty	GRMZM0000096:30,GRMZM0000007:24,GRMZM0000049:58,GRMZM0000063:26	120.58
CHA-CHING-0000451	2013-03-13	Ingrid A. Reynolds	James Y. Mullen	GRMZM0000038:94,GRMZM0000051:16,GRMZM0000010:81,GRMZM0000082:67	203.29
CHA-CHING-0000452	2013-03-19	Macaulay U. Shaw	Ava Y. Morrow	GRMZM0000037:11,GRMZM0000055:98,GRMZM0000058:91,GRMZM0000010:29	112.4
CHA-CHING-0000453	2013-03-22	Eliana V. Ashley	Iris W. Workman	GRMZM0000017:87,GRMZM0000012:66,GRMZM0000075:21,GRMZM0000043:60	102.84
CHA-CHING-0000454	2013-03-24	Nolan E. Ward	Sydnee L. Hooper	GRMZM0000008:9,GRMZM0000008:86,GRMZM0000043:45,GRMZM0000061:26,GRMZM0000033:52,GRMZM0000063:34	149.7
CHA-CHING-0000455	2013-03-30	Nolan E. Ward	Ima C. Mullins	GRMZM0000029:46,GRMZM0000054:14	32.68
CHA-CHING-0000456	2013-04-21	Ingrid A. Reynolds	Rahim N. Daugherty	GRMZM0000010:47,GRMZM0000019:45,GRMZM0000008:78,GRMZM0000081:31	57.99
CHA-CHING-0000457	2013-04-23	Macaulay U. Shaw	Iris W. Workman	GRMZM0000025:48,GRMZM0000068:63	69.3
CHA-CHING-0000458	2013-04-25	Nolan E. Ward	Kennedy I. Hatfield	GRMZM0000007:12,GRMZM0000098:11,GRMZM0000036:37,GRMZM0000009:67	102.45
CHA-CHING-0000459	2013-05-09	Ingrid A. Reynolds	Imelda G. Chambers	GRMZM0000015:49,GRMZM0000073:57	67.76
CHA-CHING-0000460	2013-05-09	Sandra E. Ramsey	Davis C. Mathis	GRMZM0000040:1,GRMZM0000017:72,GRMZM0000087:79,GRMZM0000045:32	116.9
CHA-CHING-0000461	2013-05-23	Haviva N. Glenn	Cameron S. Kaufman	GRMZM0000029:87,GRMZM0000048:12,GRMZM0000049:34,GRMZM0000047:46,GRMZM0000038:75,GRMZM0000017:75	205.58
CHA-CHING-0000462	2013-06-02	Sandra E. Ramsey	Burton E. Campbell	GRMZM0000049:31,GRMZM0000073:20	15.2
CHA-CHING-0000463	2013-06-08	Ingrid A. Reynolds	Ava Y. Morrow	GRMZM0000060:26,GRMZM0000034:44,GRMZM0000084:68,GRMZM0000042:6,GRMZM0000083:78	169.7
CHA-CHING-0000464	2013-06-24	Hedley G. Trujillo	Nathan L. Avila	GRMZM0000053:57,GRMZM0000097:10,GRMZM0000048:58,GRMZM0000023:72	130.81
CHA-CHING-0000465	2013-06-25	Ingrid A. Reynolds	Kennedy I. Hatfield	GRMZM0000064:18,GRMZM0000080:29,GRMZM0000079:38,GRMZM0000056:51	148.53
CHA-CHING-0000466	2013-06-30	Jocelyn Z. Parsons	Cameron J. Shaffer	GRMZM0000001:86,GRMZM0000019:96,GRMZM0000081:13,GRMZM0000097:50,GRMZM0000056:18,GRMZM0000026:95	252.98
CHA-CHING-0000467	2013-07-06	Hayley W. Harrell	Scarlett Z. Marks	GRMZM0000026:96,GRMZM0000070:13	105.08
CHA-CHING-0000468	2013-07-16	Jocelyn Z. Parsons	Leah T. Franks	GRMZM0000075:20,GRMZM0000094:28	51.72
CHA-CHING-0000469	2013-07-23	Sandra E. Ramsey	Latifah P. Jarvis	GRMZM0000015:71,GRMZM0000095:67,GRMZM0000066:41,GRMZM0000071:30,GRMZM0000016:38	200.97
CHA-CHING-0000470	2013-08-09	Ingrid A. Reynolds	Nathan L. Avila	GRMZM0000069:12,GRMZM0000017:20,GRMZM0000049:85,GRMZM0000066:5	57.91
